"","Response","Label","Group","Mean","LCI","UCI"
"1","Chuditch","Bait Intensity","Predation",0.0365118981734145,-0.0655072187529102,0.140319171376252
"2","Chuditch","Distance to Pasture","Fragmentation",0.28123969717971,0.197708635442915,0.365607916123196
"3","Chuditch","Fire Age Diversity","Fire",-0.0708886902835375,-0.175194162785913,0.034653461969471
"4","Chuditch","Harvest Age Diversity","Harvesting",0.563924340922216,0.453151390286452,0.676104571049777
"5","Chuditch","Mean NDVI","Resources",-0.951361843090694,-1.10898514939128,-0.792727500549427
"6","Chuditch","NDVI Anomaly","Resources",0.102815475607254,0.0201916151088555,0.184053668795467
"7","Chuditch","Prop Burnt Twice (10 yrs)","Fire",0.0340855780668222,-0.067512208965829,0.136453718970729
"8","Chuditch","Prop Moderately Burnt (3 yrs)","Fire",-0.00677115367059574,-0.0991447513715372,0.0829928189910698
"9","Chuditch","Prop Pasture (1km)","Fragmentation",-0.250064568139486,-0.40949078891004,-0.0859056837965936
"10","Chuditch","Prop Severely Burnt (3 yrs)","Fire",0.096266231714914,0.022382360066943,0.177795615632018
"11","Chuditch","Prop Valley Habitat","Resources",0.18741767811481,0.0753298867728571,0.298481912801967
"12","Fire Diversity","Distance to Assets","Fragmentation",0.22889622679294,0.111909061922403,0.343210558804846
"13","Fire Diversity","Distance to Pasture","Fragmentation",0.0158143839598195,-0.103169665887533,0.1324419245826
"14","Fire Diversity","Prop <20yrs Post Harvest","Harvesting",0.268561685652143,0.0903581751749835,0.4467428126844
"15","Fire Diversity","Prop Pasture (1km)","Fragmentation",0.355269252342675,0.197978352957819,0.511367899315998
"16","Fire Diversity","Road Density (1km)","Fragmentation",0.276085317516217,0.0830519827925507,0.47079650310588
"17","Fox Baiting Intensity","Distance to Pasture","Fragmentation",0.0861289328005155,-0.0162780436537571,0.18548767977813
"18","Fox Baiting Intensity","Prop Pasture (1km)","Fragmentation",-0.597690263753584,-0.735900525679011,-0.463287975760649
"19","Fox Baiting Intensity","Road Density (1km)","Fragmentation",-0.66922829385047,-0.802200277552124,-0.536727308420698
"20","Koomal","Bait Intensity","Predation",0.0274973961371939,-0.0462492038330329,0.100711399303108
"21","Koomal","Chuditch Abundance","Species Interactions",-0.0782416622365466,-0.165212181299739,0.00890680611957356
"22","Koomal","Distance to Pasture","Fragmentation",-0.0281916071131856,-0.091550336066121,0.0331314375973279
"23","Koomal","Fire Age Diversity","Fire",-0.0218385644143011,-0.107190167353275,0.0627688669326021
"24","Koomal","Harvest Age Diversity","Harvesting",-0.229077326341438,-0.327216767650897,-0.136042150028643
"25","Koomal","Mean NDVI","Resources",-0.57638482343671,-0.690898804551733,-0.458288724337573
"26","Koomal","NDVI Anomaly","Resources",0.0752461919127526,0.0150680631211209,0.134969757116594
"27","Koomal","Prop Burnt Twice (10 yrs)","Fire",-0.0500490452526655,-0.11450222088206,0.0144729941292265
"28","Koomal","Prop Moderately Burnt (3 yrs)","Fire",0.0602531538673219,-0.0081039168316358,0.127838727537674
"29","Koomal","Prop Pasture (1km)","Fragmentation",-0.399597510673424,-0.510544937967881,-0.286238799783016
"30","Koomal","Prop Severely Burnt (3 yrs)","Fire",-0.0989139016010114,-0.159900650563543,-0.0344900183621643
"31","Koomal","Prop Valley Habitat","Resources",1.10459222062171,1.0001809817532,1.20533366603258
"32","Koomal","Woylie Abundance","Species Interactions",-0.34430396923778,-0.4268814431396,-0.265016104555687
"33","Mean NDVI","Mean Precipitation","Resources",0.86068258850136,0.793367434988254,0.927024634606822
"34","Mean NDVI","Prop Valley Habitat","Resources",0.337131479806099,0.271495712336103,0.400855266545795
"35","NDVI Anomaly","Precip Anomaly (last 12 months)","Resources",0.531997015395572,0.433638814309722,0.633259515153432
"36","Prop Burnt Severely","Distance to Assets","Fragmentation",0.00632157670253198,-0.0933854060015076,0.107450043890231
"37","Prop Burnt Severely","Distance to Pasture","Fragmentation",-0.0166093303902308,-0.122178623723625,0.0896118203800505
"38","Prop Burnt Severely","Prop <20yrs Post Harvest","Harvesting",-0.148300324295236,-0.285782826780516,-0.0105681976124825
"39","Prop Burnt Severely","Prop Pasture (1km)","Fragmentation",-0.112791381718105,-0.244595485133081,0.0183940816308052
"40","Prop Burnt Severely","Road Density (1km)","Fragmentation",0.0210030593075935,-0.173659739783645,0.219326677743503
"41","Prop Burnt Twice","Distance to Assets","Fragmentation",0.0902568357278509,0.00795886346801276,0.170906141721645
"42","Prop Burnt Twice","Distance to Pasture","Fragmentation",-0.098408657338391,-0.212179213670784,0.019851479649439
"43","Prop Burnt Twice","Prop <20yrs Post Harvest","Harvesting",-0.0895510869499287,-0.228331768022741,0.050240871453717
"44","Prop Burnt Twice","Prop Pasture (1km)","Fragmentation",0.0194017898807272,-0.109810520425561,0.146601215043446
"45","Prop Burnt Twice","Road Density (1km)","Fragmentation",0.276157108255705,0.127713176170464,0.427234164674056
"46","Prop Recently Burnt","Distance to Assets","Fragmentation",0.0686669260959195,-0.0341365973523798,0.171290859312903
"47","Prop Recently Burnt","Distance to Pasture","Fragmentation",0.043422626286264,-0.0654163322959869,0.152890588403872
"48","Prop Recently Burnt","Prop <20yrs Post Harvest","Harvesting",-0.152952573315032,-0.303778058735606,-0.00249256997267672
"49","Prop Recently Burnt","Prop Pasture (1km)","Fragmentation",0.0116422604516037,-0.15357359668556,0.172904492788412
"50","Prop Recently Burnt","Road Density (1km)","Fragmentation",0.111972325444234,-0.0896731279411412,0.320729634485939
"51","Prop Unburnt","Distance to Assets","Fragmentation",0.112975780429548,0.0317428902391172,0.19292615439163
"52","Prop Unburnt","Distance to Pasture","Fragmentation",0.00265416921382795,-0.0827048931942743,0.0859912657783909
"53","Prop Unburnt","Prop <20yrs Post Harvest","Harvesting",0.319928310789374,0.206017229505667,0.435375626791114
"54","Prop Unburnt","Prop Pasture (1km)","Fragmentation",0.142937114173146,0.0366456146846392,0.250556288911547
"55","Prop Unburnt","Road Density (1km)","Fragmentation",0.0657718139355051,-0.0718851442843002,0.205175328138064
"56","Quenda","Bait Intensity","Predation",-0.294318253523336,-0.690999213223528,0.0874843284958362
"57","Quenda","Chuditch Abundance","Species Interactions",-0.108398504773841,-0.532906166751576,0.319579066026689
"58","Quenda","Distance to Pasture","Fragmentation",-0.421175623284433,-0.772679776956361,-0.078723500737471
"59","Quenda","Fire Age Diversity","Fire",-0.282401733873641,-0.690313133698795,0.121319936905947
"60","Quenda","Harvest Age Diversity","Harvesting",-0.066721920007721,-0.561258297449124,0.432964118256683
"61","Quenda","Mean NDVI","Resources",-1.71947224722355,-2.4980585107232,-1.01077273312404
"62","Quenda","NDVI Anomaly","Resources",0.478820357978036,0.164110114960589,0.808249845467434
"63","Quenda","Prop Burnt Twice (10 yrs)","Fire",0.205096625395211,-0.209500560716762,0.646842440233367
"64","Quenda","Prop Moderately Burnt (3 yrs)","Fire",0.369534400802832,-0.0108661047760419,0.788573069341549
"65","Quenda","Prop Pasture (1km)","Fragmentation",-0.918407748365053,-1.59375754416376,-0.27271951315128
"66","Quenda","Prop Severely Burnt (3 yrs)","Fire",-0.246586334429281,-0.6546340777373,0.128759708254185
"67","Quenda","Prop Valley Habitat","Resources",0.431725120543161,-0.0630506522910347,0.931039951887201
"68","Woylie","Bait Intensity","Predation",0.0653601916126002,-0.10433237185327,0.233172312675873
"69","Woylie","Chuditch Abundance","Species Interactions",-0.440382132281676,-0.637717176758204,-0.236722326403813
"70","Woylie","Distance to Pasture","Fragmentation",-0.211029664011893,-0.366703176772039,-0.0572107343838746
"71","Woylie","Fire Age Diversity","Fire",-0.0473176243032818,-0.231836120171934,0.129373992131815
"72","Woylie","Harvest Age Diversity","Harvesting",-0.252381015717446,-0.497297908204302,-0.00557144595567292
"73","Woylie","Mean NDVI","Resources",-1.65137221683862,-1.94653996496652,-1.34157956415633
"74","Woylie","NDVI Anomaly","Resources",0.152590151520638,0.0208224139804474,0.284805967474206
"75","Woylie","Prop Burnt Twice (10 yrs)","Fire",0.262181080523152,0.0642248180931297,0.46681958067397
"76","Woylie","Prop Moderately Burnt (3 yrs)","Fire",-0.238722103545301,-0.424933153487163,-0.0398582777250389
"77","Woylie","Prop Pasture (1km)","Fragmentation",-0.751361949752348,-1.02816690161217,-0.473618055608969
"78","Woylie","Prop Severely Burnt (3 yrs)","Fire",-0.147741220210366,-0.280994783336902,0.00122264782686819
"79","Woylie","Prop Valley Habitat","Resources",1.23992127071478,1.04749258072005,1.42974109133593
